source,target,Diff_RR,Diff_Corr,Pair
401,272,1.0571280425040448,0.0029447196657358,401_272
250,272,1.0918589953006652,0.0075304915554109,250_272
780,272,1.0045566720839931,0.0055424837200936,780_272
272,786,1.1933949747227088,0.013045897312959,272_786
401,079,1.2023890296207076,0.0082808037166213,401_079
780,079,1.0532815970529283,0.0102553297851786,780_079
250,079,1.3606963635934193,0.015759546693382,250_079
486,519,1.0030429871769315,0.0357055564579976,486_519
486,079,1.283121965557997,0.0367637924311123,486_079
272,079,1.1488488475301624,0.0044155324245525,272_079
272,519,1.332732558850021,0.0088596385486776,272_519
599,272,1.0562550742399983,0.0079406811463387,599_272
038,079,1.2427788091260037,0.0224692222706333,038_079
038,519,1.0906280651956042,0.0226504089625554,038_519
276,079,1.187302649114253,0.0214138381476573,276_079
401,719,1.0228479610324035,0.0001209216588071,401_719
585,519,2.135980651514407,0.0325154895049817,585_519
585,079,2.264272252896692,0.0301869917327201,585_079
788,519,1.0533937455579243,0.0137101111864738,788_519
427,519,1.1252565243805246,0.0136920897891497,427_519
427,079,1.1592764839896106,0.0109470776593666,427_079
788,079,1.3951590757522263,0.0151870919810113,788_079
535,079,1.0920395465570347,0.0012343027883868,535_079
285,519,1.4621660464433863,0.0227847457344447,285_519
285,079,1.3739754455538606,0.0181423384174876,285_079
535,519,1.4961838211852974,0.0058217370582404,535_519
366,585,1.722009576864202,0.0227029069810244,366_585
428,519,1.3898935996020316,0.0189081864174176,428_519
569,079,1.8747294580281493,0.009069629867359,569_079
569,519,1.483453269867851,0.0073903352812499,569_519
790,079,1.5291909880599237,0.0074699539907891,790_079
428,079,2.036772268664739,0.0208053447459896,428_079
790,519,1.4959191666194038,0.0077671939590866,790_519
569,037,1.758683662577867,0.018369552495859,569_037
414,079,1.7010641287594688,0.0100160441194981,414_079
414,519,1.4421790301092217,0.0092957349057971,414_519
274,519,2.891707923862897,0.0293161542482194,274_519
274,079,3.6239723361496727,0.0293263812137399,274_079
854,250,1.8304068084570853,0.0168502021092565,854_250
079,486,3.9333293479601994,0.0285717802438064,079_486
366,079,1.551579470341729,0.008988743522577,366_079
519,486,1.7186319427698735,0.0224679416254894,519_486
401,198,1.0488727266427078,0.0033662030411519,401_198
366,519,1.20858762246633,0.0068290630962867,366_519
496,519,1.2180430599615166,0.0223298395998898,496_519
039,519,2.7431246158160296,0.03071498280869,039_519
496,079,2.164836010988096,0.0271319128040247,496_079
569,154,1.6535146184851508,0.0311057951249712,569_154
039,079,2.872988001100711,0.0281370024354292,039_079
079,786,2.03514447467098,0.0194362286385068,079_786
600,519,1.5194497588458389,0.016440153446082,600_519
079,599,2.8717250406210506,0.0237879620602498,079_599
600,079,2.352702465179794,0.0183202824177678,600_079
682,079,1.0883974894071156,0.0073689294604424,682_079
437,079,1.5201921508710527,0.0136792373246283,437_079
786,496,1.4172210182007905,0.012862567895629,786_496
041,535,1.9319444687644096,0.0134161395162621,041_535
791,276,1.6772432885721873,0.0166839416384209,791_276
518,519,1.2043926624713426,0.0123205981150379,518_519
079,038,2.2841849925921625,0.0191708264960029,079_038
518,079,2.1083401167732405,0.0167925692521271,518_079
996,519,1.3096353229695248,0.0161222466714962,996_519
724,519,1.055786365241693,0.0057706095185995,724_519
366,251,2.1498772828292583,0.0214531112293023,366_251
996,079,1.4323837216349962,0.013407531881426,996_079
724,079,1.2097299470498182,0.0048640497471547,724_079
434,079,1.3219954585860825,0.0147642805790636,434_079
519,599,2.2094705536107067,0.0218257458089832,519_599
079,276,3.7241117248671465,0.0226469403361945,079_276
519,038,3.009714710148901,0.0288109913276677,519_038
519,786,1.8493593187761603,0.018324273329542,519_786
719,079,1.3138881172227073,0.0097909870186307,719_079
584,519,1.3970761532369065,0.0166677146158008,584_519
564,079,1.0949975831016538,0.0103797039921169,564_079
719,519,1.1290485556712562,0.0083383887953893,719_519
719,274,2.0666597057427625,0.0191499097888582,719_274
783,079,1.0633940890276667,0.0098782656404531,783_079
584,079,1.343314402231642,0.0122194632772099,584_079
379,401,2.869781525728237,0.0194114773474902,379_401
783,519,1.1858702939204686,0.0135695064561479,783_519
519,276,2.5143120483686263,0.0215409912581561,519_276
593,519,1.1604239500694726,0.0067777385039586,593_519
854,707,1.95606674241615,0.0205303317356968,854_707
155,050,2.2368615971100443,0.061813624779134,155_050
280,079,1.1362253522950831,0.0044565231309354,280_079
813,486,1.8858620375337365,0.0139838640725141,813_486
533,535,4.581041079339508,0.0400548136235474,533_535
366,197,2.534751402844839,0.0159080658778428,366_197
719,785,2.605905532123464,0.0177051017599386,719_785
458,079,1.334284554943149,0.0136378977882822,458_079
593,079,1.51093713167092,0.0065991825131128,593_079
530,519,1.326499982757918,0.0043089298403049,530_519
458,519,1.327519555949325,0.0147971368685935,458_519
280,519,1.557769317765495,0.0053984403060987,280_519
455,428,2.050778390512908,0.0104964134898102,455_428
278,600,3.6422943952558526,0.0158855614425244,278_600
493,519,1.4940226664511376,0.0105846574730377,493_519
562,037,2.3156649656649657,0.015573633209699,562_037
311,276,2.263006789200186,0.0136684655959296,311_276
535,424,2.171690314471489,0.0156575277210476,535_424
412,427,3.860582995951417,0.028200629161958,412_427
531,519,3.3941588354523686,0.01409196320439,531_519
531,079,3.240882596665684,0.0132918565581801,531_079
493,079,1.11886615857735,0.0054406862004548,493_079
550,276,2.2830557758392804,0.0137611640781789,550_276
791,682,2.5182219219457918,0.0177671925500749,791_682
434,093,3.043774561601387,0.0212311319697952,434_093
575,996,2.764455102584599,0.0320091611231413,575_996
079,518,3.318936383447343,0.0178454139376589,079_518
733,079,1.1171260070109232,0.0022903368315937,733_079
519,788,2.9339276108506875,0.0169563153840094,519_788
574,519,2.1590244462212747,0.0082984765658438,574_519
574,079,3.0922881453491526,0.0093383057600721,574_079
079,799,5.108952447974263,0.0215230883675344,079_799
079,788,3.306600985221675,0.0130634406284463,079_788
281,079,1.7726476872277253,0.0221438531333739,281_079
281,519,2.062760385066537,0.0262290535594214,281_519
379,250,2.6276244259068324,0.0138742880489518,379_250
813,788,3.366470588235294,0.0187801722591399,813_788
403,079,1.4308739322665804,0.0138620890895816,403_079
403,519,1.1988372314671851,0.0140697710980758,403_519
079,428,4.38012763663554,0.0158651880175286,079_428
519,428,2.137553822879088,0.0161157546100404,519_428
511,519,5.941491406603347,0.0155042506563477,511_519
511,079,2.127442729341193,0.0112718470132995,511_079
573,519,1.0895464369116517,0.0021797434411124,573_519
573,079,1.3004297444640136,0.0027415514347714,573_079
037,294,2.548638351751553,0.0105281022107852,037_294
362,578,3.5884024654673943,0.0172841317596929,362_578
560,079,1.5267367129472451,0.009321677368668,560_079
571,519,1.812481681293268,0.0025338328499549,571_519
332,519,1.2048837253128295,0.0123665760552856,332_519
692,079,1.1286003214330858,0.0071371547945997,692_079
692,519,1.378973189607518,0.0107448349747734,692_519
332,079,1.4380907338458533,0.0122868992021481,332_079
490,428,2.671974944926613,0.0225163383107997,490_428
218,780,3.513350069456991,0.0108137059783574,218_780
079,482,5.619690154922539,0.0280248945037695,079_482
560,519,1.639941652991587,0.0097668762446988,560_519
410,562,3.379904361146088,0.0166625655172291,410_562
241,789,3.059522620593229,0.0147990463308496,241_789
793,079,1.2137093268929129,0.0025479203672972,793_079
790,386,3.117568987446773,0.0180361200849203,790_386
197,079,2.572298640558026,0.0029664574610038,197_079
162,519,1.382299287874354,0.0018970414462789,162_519
536,079,1.416562457337884,0.0077801873687967,536_079
578,079,1.0794515636034483,0.0038072570775287,578_079
266,519,1.6725380928256888,0.0098465650094035,266_519
285,311,3.6439299794985023,0.0167114894532128,285_311
426,294,3.833239840699716,0.0236780171283637,426_294
482,079,1.151946602068704,0.0086979916689859,482_079
436,079,1.3821152782809312,0.0068496075996517,436_079
788,281,2.803571428571429,0.0154825508788857,788_281
478,788,3.834531250000001,0.0160049811550051,478_788
583,455,3.574334777227723,0.0161186973920679,583_455
351,786,6.049345111178801,0.0203047533552515,351_786
266,079,2.195886317527929,0.0091151461498382,266_079
162,079,7.259319488128966,0.0054591368319488,162_079
410,519,1.515127322416748,0.0027106571066778,410_519
410,079,1.627544189924749,0.0027424377859084,410_079
788,011,3.065168539325842,0.0158856846612933,788_011
